control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	FDR	Precision	Recall	F1	Sensitivity	minimum_read_support
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	649
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	649
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	648
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	648
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	647
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	647
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	646
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	646
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	645
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	645
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	644
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	644
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	643
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	643
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	642
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	642
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	641
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	641
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	640
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	640
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	639
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	639
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	638
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	638
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	637
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	637
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	636
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	636
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	635
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	635
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	634
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	634
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	633
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	633
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	632
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	632
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	631
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	631
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	630
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	630
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	629
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	629
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	628
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	628
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	627
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	627
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	626
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	626
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	625
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	625
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	624
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	624
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	623
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	623
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	622
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	622
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	621
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	621
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	620
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	620
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	619
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	619
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	618
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	618
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	617
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	617
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	616
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	616
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	615
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	615
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	614
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	614
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	613
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	613
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	612
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	612
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	611
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	611
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	610
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	610
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	609
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	609
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	608
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	608
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	607
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	607
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	606
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	606
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	605
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	605
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	604
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	604
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	603
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	603
