control	depth	Sequence_Identity	Algorithm	fusionType	fusion_type_count	recall_category
negative	100GB	90%	CTAT-LR-Fusion	reverse_order:tri_fusion	0	Partial_Recall
negative	100GB	90%	CTAT-LR-Fusion	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	100GB	90%	CTAT-LR-Fusion	tri_fusion	0	True_Recall
negative	100GB	90%	CTAT-LR-Fusion	truncated_tri_fusion	0	Partial_Recall
negative	100GB	90%	CTAT-LR-Fusion	wrong_order:tri_fusion	0	Partial_Recall
negative	100GB	90%	FusionSeeker	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	100GB	90%	FusionSeeker	false_fusion	388	False_Call
negative	100GB	90%	FusionSeeker	false_fusion:mitochondrial	3	False_Call
negative	100GB	90%	FusionSeeker	false_fusion:mitochondrial_genomic	31	False_Call
negative	100GB	90%	FusionSeeker	false_fusion:self_misalignment	0	False_Call
negative	100GB	90%	FusionSeeker	false_fusion:Sense-Antisense	22	False_Call
negative	100GB	90%	FusionSeeker	hybrid	0	True_Recall
negative	100GB	90%	FusionSeeker	intra_chromosome	0	True_Recall
negative	100GB	90%	FusionSeeker	read_through	0	True_Recall
negative	100GB	90%	FusionSeeker	reverse_order:hybrid	0	Partial_Recall
negative	100GB	90%	FusionSeeker	reverse_order:intra_chromosome	0	Partial_Recall
negative	100GB	90%	FusionSeeker	reverse_order:read_through	0	Partial_Recall
negative	100GB	90%	FusionSeeker	reverse_order:tri_fusion	0	Partial_Recall
negative	100GB	90%	FusionSeeker	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	100GB	90%	FusionSeeker	tri_fusion	0	True_Recall
negative	100GB	90%	FusionSeeker	truncated_tri_fusion	0	Partial_Recall
negative	100GB	90%	FusionSeeker	wrong_order:tri_fusion	0	Partial_Recall
negative	100GB	90%	Genion	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	100GB	90%	Genion	false_fusion	55	False_Call
negative	100GB	90%	Genion	false_fusion:mitochondrial	0	False_Call
negative	100GB	90%	Genion	false_fusion:mitochondrial_genomic	0	False_Call
negative	100GB	90%	Genion	false_fusion:self_misalignment	5	False_Call
negative	100GB	90%	Genion	false_fusion:Sense-Antisense	0	False_Call
negative	100GB	90%	Genion	hybrid	0	True_Recall
negative	100GB	90%	Genion	intra_chromosome	0	True_Recall
negative	100GB	90%	Genion	read_through	0	True_Recall
negative	100GB	90%	Genion	reverse_order:hybrid	0	Partial_Recall
negative	100GB	90%	Genion	reverse_order:intra_chromosome	0	Partial_Recall
negative	100GB	90%	Genion	reverse_order:read_through	0	Partial_Recall
negative	100GB	90%	Genion	reverse_order:tri_fusion	0	Partial_Recall
negative	100GB	90%	Genion	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	100GB	90%	Genion	tri_fusion	0	True_Recall
negative	100GB	90%	Genion	truncated_tri_fusion	0	Partial_Recall
negative	100GB	90%	Genion	wrong_order:tri_fusion	0	Partial_Recall
negative	100GB	90%	GFSeeker	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	100GB	90%	GFSeeker	false_fusion	0	False_Call
