control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	minimum_read_support	FDR	Precision	Recall	F1	Sensitivity
positive	100GB	85%	GFSeeker	1	0	400	68	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	68	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	68	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	69	10	400	68	0.8734177215189873	0.12658227848101267	0.025	0.041753653444676415	0.025
positive	100GB	90%	GFSeeker	1	0	400	68	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	68	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	85	18	400	68	0.8252427184466019	0.17475728155339806	0.045	0.07157057654075547	0.045
positive	100GB	95%	GFSeeker	1	0	400	68	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	68	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	68	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	68	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	68	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	68	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	67	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	20	0	400	67	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	67	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	67	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	67	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	20	0	400	67	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	67	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	67	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	22	0	400	67	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	67	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	67	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	67	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	67	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	67	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	67	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	4	0	400	67	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	42	4	400	67	0.9130434782608695	0.08695652173913043	0.01	0.017937219730941707	0.01
positive	100GB	85%	GFSeeker	1	0	400	67	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	67	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	67	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	69	10	400	67	0.8734177215189873	0.12658227848101267	0.025	0.041753653444676415	0.025
positive	100GB	90%	GFSeeker	1	0	400	67	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	67	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	87	19	400	67	0.8207547169811321	0.1792452830188679	0.0475	0.07509881422924901	0.0475
positive	100GB	95%	GFSeeker	1	0	400	67	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	67	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	67	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	67	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	67	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	67	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	67	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	66	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	20	0	400	66	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	66	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	66	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	66	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	21	0	400	66	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	66	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	66	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	22	0	400	66	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	66	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	66	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	66	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	66	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	66	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	66	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	4	0	400	66	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	43	6	400	66	0.8775510204081632	0.12244897959183673	0.015	0.026726057906458798	0.015
positive	100GB	85%	GFSeeker	1	0	400	66	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	66	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	66	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	72	10	400	66	0.8780487804878049	0.12195121951219512	0.025	0.041493775933609964	0.025
positive	100GB	90%	GFSeeker	1	0	400	66	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	66	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	89	19	400	66	0.8240740740740741	0.17592592592592593	0.0475	0.07480314960629922	0.0475
positive	100GB	95%	GFSeeker	1	0	400	66	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	66	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	66	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	66	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	66	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	66	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	66	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	65	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	21	0	400	65	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	65	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	65	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	65	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	21	0	400	65	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	65	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	65	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	24	0	400	65	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	65	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	65	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	65	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	65	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	65	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	65	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	4	0	400	65	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	43	6	400	65	0.8775510204081632	0.12244897959183673	0.015	0.026726057906458798	0.015
positive	100GB	85%	GFSeeker	1	0	400	65	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	65	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	65	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	75	10	400	65	0.8823529411764706	0.11764705882352941	0.025	0.041237113402061855	0.025
positive	100GB	90%	GFSeeker	1	0	400	65	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	65	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	91	20	400	65	0.8198198198198198	0.18018018018018017	0.05	0.07827788649706459	0.05
positive	100GB	95%	GFSeeker	1	0	400	65	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	65	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	65	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	65	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	65	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	65	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	65	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	64	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	23	0	400	64	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	64	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	64	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	64	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	21	0	400	64	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	64	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	64	1	0	0	NA	0
negative	100GB	95%	CTAT-LR-Fusion	1	0	400	64	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	24	0	400	64	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	64	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	64	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	64	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	64	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	64	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	64	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	4	0	400	64	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	43	6	400	64	0.8775510204081632	0.12244897959183673	0.015	0.026726057906458798	0.015
positive	100GB	85%	GFSeeker	1	0	400	64	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	64	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	64	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	78	10	400	64	0.8863636363636364	0.11363636363636363	0.025	0.040983606557377046	0.025
positive	100GB	90%	GFSeeker	1	0	400	64	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	64	1	0	0	NA	0
positive	100GB	95%	CTAT-LR-Fusion	1	0	400	64	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	92	20	400	64	0.8214285714285714	0.17857142857142858	0.05	0.078125	0.05
positive	100GB	95%	GFSeeker	1	0	400	64	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	64	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	64	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	64	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	64	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	64	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	64	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	63	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	23	0	400	63	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	63	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	63	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	63	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	22	0	400	63	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	63	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	63	1	0	0	NA	0
negative	100GB	95%	CTAT-LR-Fusion	1	0	400	63	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	25	0	400	63	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	63	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	63	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	63	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	63	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	63	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	63	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	4	0	400	63	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	44	6	400	63	0.88	0.12	0.015	0.026666666666666665	0.015
positive	100GB	85%	GFSeeker	1	0	400	63	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	63	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	63	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	80	12	400	63	0.8695652173913043	0.13043478260869565	0.03	0.048780487804878044	0.03
positive	100GB	90%	GFSeeker	1	0	400	63	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	63	1	0	0	NA	0
positive	100GB	95%	CTAT-LR-Fusion	1	0	400	63	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	93	20	400	63	0.8230088495575221	0.17699115044247787	0.05	0.07797270955165693	0.05
positive	100GB	95%	GFSeeker	1	0	400	63	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	63	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	63	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	63	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	63	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	63	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	63	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	62	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	23	0	400	62	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	62	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	62	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	62	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	22	0	400	62	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	62	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	62	1	0	0	NA	0
negative	100GB	95%	CTAT-LR-Fusion	1	0	400	62	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	25	0	400	62	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	62	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	62	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	62	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	62	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	62	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	62	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	4	0	400	62	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	46	6	400	62	0.8846153846153846	0.11538461538461539	0.015	0.026548672566371685	0.015
positive	100GB	85%	GFSeeker	1	0	400	62	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	62	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	62	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	81	13	400	62	0.8617021276595744	0.13829787234042554	0.0325	0.05263157894736842	0.0325
positive	100GB	90%	GFSeeker	1	0	400	62	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	62	1	0	0	NA	0
positive	100GB	95%	CTAT-LR-Fusion	1	0	400	62	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	93	20	400	62	0.8230088495575221	0.17699115044247787	0.05	0.07797270955165693	0.05
positive	100GB	95%	GFSeeker	1	0	400	62	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	62	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	62	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	62	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	62	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	62	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	62	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	61	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	25	0	400	61	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	61	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	61	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	61	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	24	0	400	61	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	61	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	61	1	0	0	NA	0
negative	100GB	95%	CTAT-LR-Fusion	1	0	400	61	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	26	0	400	61	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	61	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	61	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	61	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	61	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	61	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	61	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	4	0	400	61	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	47	6	400	61	0.8867924528301887	0.11320754716981132	0.015	0.026490066225165566	0.015
positive	100GB	85%	GFSeeker	1	0	400	61	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	61	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	61	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	81	14	400	61	0.8526315789473684	0.14736842105263157	0.035	0.05656565656565657	0.035
positive	100GB	90%	GFSeeker	1	0	400	61	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	61	1	0	0	NA	0
positive	100GB	95%	CTAT-LR-Fusion	1	0	400	61	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	94	20	400	61	0.8245614035087719	0.17543859649122806	0.05	0.07782101167315175	0.05
positive	100GB	95%	GFSeeker	1	0	400	61	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	61	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	61	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	61	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	61	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	61	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	61	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	60	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	26	0	400	60	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	60	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	60	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	60	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	24	0	400	60	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	60	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	60	1	0	0	NA	0
negative	100GB	95%	CTAT-LR-Fusion	1	0	400	60	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	26	0	400	60	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	60	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	60	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	60	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	60	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	60	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	60	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	4	0	400	60	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	48	6	400	60	0.8888888888888888	0.1111111111111111	0.015	0.026431718061674006	0.015
positive	100GB	85%	GFSeeker	1	0	400	60	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	60	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	60	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	82	14	400	60	0.8541666666666666	0.14583333333333334	0.035	0.05645161290322581	0.035
positive	100GB	90%	GFSeeker	1	0	400	60	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	60	1	0	0	NA	0
positive	100GB	95%	CTAT-LR-Fusion	1	0	400	60	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	99	20	400	60	0.8319327731092437	0.16806722689075632	0.05	0.07707129094412332	0.05
positive	100GB	95%	GFSeeker	1	0	400	60	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	60	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	60	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	60	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	60	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	60	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	60	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	59	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	26	0	400	59	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	59	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	59	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	59	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	24	0	400	59	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	59	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	59	1	0	0	NA	0
negative	100GB	90%	LongGF	1	0	400	59	1	0	0	NA	0
negative	100GB	95%	CTAT-LR-Fusion	1	0	400	59	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	26	0	400	59	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	59	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	59	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	59	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	59	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	59	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	59	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	5	0	400	59	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	48	7	400	59	0.8727272727272727	0.12727272727272726	0.0175	0.030769230769230764	0.0175
positive	100GB	85%	GFSeeker	1	0	400	59	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	59	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	59	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	84	14	400	59	0.8571428571428571	0.14285714285714285	0.035	0.05622489959839358	0.035
positive	100GB	90%	GFSeeker	1	0	400	59	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	59	1	0	0	NA	0
positive	100GB	95%	CTAT-LR-Fusion	1	0	400	59	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	100	20	400	59	0.8333333333333334	0.16666666666666666	0.05	0.07692307692307691	0.05
positive	100GB	95%	GFSeeker	1	0	400	59	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	59	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	59	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	59	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	59	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	59	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	59	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	58	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	26	0	400	58	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	58	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	58	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	58	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	25	0	400	58	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	58	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	58	1	0	0	NA	0
negative	100GB	90%	LongGF	1	0	400	58	1	0	0	NA	0
negative	100GB	95%	CTAT-LR-Fusion	1	0	400	58	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	26	0	400	58	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	58	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	58	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	58	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	58	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	58	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	58	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	5	0	400	58	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	51	7	400	58	0.8793103448275862	0.1206896551724138	0.0175	0.030567685589519653	0.0175
positive	100GB	85%	GFSeeker	1	0	400	58	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	58	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	58	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	84	14	400	58	0.8571428571428571	0.14285714285714285	0.035	0.05622489959839358	0.035
positive	100GB	90%	GFSeeker	1	0	400	58	1	0	0	NA	0
positive	100GB	90%	Genion	4	0	400	58	1	0	0	NA	0
positive	100GB	95%	CTAT-LR-Fusion	1	0	400	58	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	102	21	400	58	0.8292682926829268	0.17073170731707318	0.0525	0.08030592734225622	0.0525
positive	100GB	95%	GFSeeker	1	0	400	58	1	0	0	NA	0
positive	100GB	95%	Genion	1	0	400	58	1	0	0	NA	0
positive	100GB	95%	LongGF	1	0	400	58	1	0	0	NA	0
positive	10GB	85%	CTAT-LR-Fusion	1	0	397	58	1	0	0	NA	0
positive	10GB	85%	FusionSeeker	1	0	397	58	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	58	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	58	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	57	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	26	0	400	57	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	57	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	57	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	57	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	26	0	400	57	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	57	1	0	0	NA	0
negative	100GB	90%	Genion	4	0	400	57	1	0	0	NA	0
negative	100GB	90%	LongGF	1	0	400	57	1	0	0	NA	0
negative	100GB	95%	CTAT-LR-Fusion	1	0	400	57	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	26	0	400	57	1	0	0	NA	0
negative	100GB	95%	GFSeeker	1	0	400	57	1	0	0	NA	0
negative	100GB	95%	Genion	1	0	400	57	1	0	0	NA	0
negative	100GB	95%	LongGF	1	0	400	57	1	0	0	NA	0
negative	10GB	85%	CTAT-LR-Fusion	1	0	397	57	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	57	1	0	0	NA	0
