control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	minimum_read_support	FDR	Precision	Recall	F1	Sensitivity
positive	100GB	85%	Genion	1	0	400	302	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	302	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	302	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	5	0	400	302	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	300	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	300	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	300	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	300	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	300	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	300	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	300	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	300	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	300	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	300	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	0	400	300	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	296	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	296	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	296	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	3	0	400	296	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	296	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	296	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	296	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	296	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	296	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	296	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	0	400	296	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	287	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	287	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	287	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	3	0	400	287	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	287	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	287	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	287	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	287	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	3	0	400	287	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	287	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	0	400	287	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	285	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	285	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	285	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	3	0	400	285	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	285	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	285	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	285	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	285	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	3	0	400	285	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	285	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	1	400	285	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	284	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	284	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	284	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	3	0	400	284	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	284	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	284	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	284	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	284	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	284	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	3	0	400	284	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	284	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	1	400	284	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	283	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	283	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	283	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	283	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	283	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	283	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	283	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	283	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	283	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	3	0	400	283	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	283	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	1	400	283	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	281	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	281	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	281	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	281	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	281	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	281	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	281	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	281	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	281	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	281	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	281	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	1	400	281	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	279	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	279	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	279	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	279	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	279	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	4	0	400	279	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	279	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	279	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	279	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	279	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	279	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	1	400	279	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	263	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	263	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	263	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	263	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	263	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	5	0	400	263	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	263	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	263	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	263	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	263	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	263	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	1	400	263	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	261	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	261	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	261	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	261	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	261	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	5	0	400	261	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	261	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	261	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	261	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	261	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	261	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	7	1	400	261	0.875	0.125	0.0025	0.004901960784313725	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	256	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	3	0	400	256	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	256	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	256	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	256	1	0	0	NA	0
